                      List of relations
 Schema  |             Name              | Type  |   Owner   
---------+-------------------------------+-------+-----------
 archive | signaturearchive_10_2015      | table | arbtrucks
 archive | signaturearchive_11_2015      | table | arbtrucks
 archive | signaturearchive_12_2015      | table | arbtrucks
 archive | signaturearchive_196912_61    | table | arbtrucks
 archive | signaturearchive_196912_62    | table | arbtrucks
 archive | signaturearchive_1_2015       | table | arbtrucks
 archive | signaturearchive_1_2016       | table | arbtrucks
 archive | signaturearchive_201601_10001 | table | arbtrucks
 archive | signaturearchive_201601_10002 | table | arbtrucks
 archive | signaturearchive_201601_10003 | table | arbtrucks
 archive | signaturearchive_201601_10004 | table | arbtrucks
 archive | signaturearchive_201601_10005 | table | arbtrucks
 archive | signaturearchive_201601_10006 | table | arbtrucks
 archive | signaturearchive_201601_10007 | table | arbtrucks
 archive | signaturearchive_201601_46    | table | arbtrucks
 archive | signaturearchive_201601_6001  | table | arbtrucks
 archive | signaturearchive_201601_6002  | table | arbtrucks
 archive | signaturearchive_201601_6003  | table | arbtrucks
 archive | signaturearchive_201601_6004  | table | arbtrucks
 archive | signaturearchive_201601_6005  | table | arbtrucks
 archive | signaturearchive_201601_6007  | table | arbtrucks
 archive | signaturearchive_201601_7001  | table | arbtrucks
 archive | signaturearchive_201601_7002  | table | arbtrucks
 archive | signaturearchive_201601_7003  | table | arbtrucks
 archive | signaturearchive_201602_10001 | table | arbtrucks
 archive | signaturearchive_201602_10002 | table | arbtrucks
 archive | signaturearchive_201602_10003 | table | arbtrucks
 archive | signaturearchive_201602_10004 | table | arbtrucks
 archive | signaturearchive_201602_10005 | table | arbtrucks
 archive | signaturearchive_201602_10006 | table | arbtrucks
 archive | signaturearchive_201602_10007 | table | arbtrucks
 archive | signaturearchive_201602_46    | table | arbtrucks
 archive | signaturearchive_201602_6001  | table | arbtrucks
 archive | signaturearchive_201602_6002  | table | arbtrucks
 archive | signaturearchive_201602_6003  | table | arbtrucks
 archive | signaturearchive_201602_6004  | table | arbtrucks
 archive | signaturearchive_201602_6005  | table | arbtrucks
 archive | signaturearchive_201602_6007  | table | arbtrucks
 archive | signaturearchive_201602_7001  | table | arbtrucks
 archive | signaturearchive_201602_7002  | table | arbtrucks
 archive | signaturearchive_201602_7003  | table | arbtrucks
 archive | signaturearchive_201602_7004  | table | arbtrucks
 archive | signaturearchive_201602_7005  | table | arbtrucks
 archive | signaturearchive_201602_7006  | table | arbtrucks
 archive | signaturearchive_201602_7007  | table | arbtrucks
 archive | signaturearchive_201603_10001 | table | arbtrucks
 archive | signaturearchive_201603_10002 | table | arbtrucks
 archive | signaturearchive_201603_10003 | table | arbtrucks
 archive | signaturearchive_201603_10004 | table | arbtrucks
 archive | signaturearchive_201603_10005 | table | arbtrucks
 archive | signaturearchive_201603_10006 | table | arbtrucks
 archive | signaturearchive_201603_10007 | table | arbtrucks
 archive | signaturearchive_201603_11001 | table | arbtrucks
 archive | signaturearchive_201603_11002 | table | arbtrucks
 archive | signaturearchive_201603_46    | table | arbtrucks
 archive | signaturearchive_201603_6001  | table | arbtrucks
 archive | signaturearchive_201603_6002  | table | arbtrucks
 archive | signaturearchive_201603_6003  | table | arbtrucks
 archive | signaturearchive_201603_6004  | table | arbtrucks
 archive | signaturearchive_201603_6005  | table | arbtrucks
 archive | signaturearchive_201603_6007  | table | arbtrucks
 archive | signaturearchive_201603_7002  | table | arbtrucks
 archive | signaturearchive_201603_7003  | table | arbtrucks
 archive | signaturearchive_201603_7004  | table | arbtrucks
 archive | signaturearchive_201603_7005  | table | arbtrucks
 archive | signaturearchive_201603_7006  | table | arbtrucks
 archive | signaturearchive_201603_7007  | table | arbtrucks
 archive | signaturearchive_201603_7008  | table | arbtrucks
 archive | signaturearchive_201603_7009  | table | arbtrucks
 archive | signaturearchive_201603_7010  | table | arbtrucks
 archive | signaturearchive_201603_7011  | table | arbtrucks
 archive | signaturearchive_201603_7012  | table | arbtrucks
 archive | signaturearchive_201604_10001 | table | arbtrucks
 archive | signaturearchive_201604_10002 | table | arbtrucks
 archive | signaturearchive_201604_10003 | table | arbtrucks
 archive | signaturearchive_201604_10004 | table | arbtrucks
 archive | signaturearchive_201604_10005 | table | arbtrucks
 archive | signaturearchive_201604_10006 | table | arbtrucks
 archive | signaturearchive_201604_10007 | table | arbtrucks
