                                                       Access privileges
 Schema |                       Name                        |   Type   |      Access privileges      | Column access privileges 
--------+---------------------------------------------------+----------+-----------------------------+--------------------------
 public | classification                                    | table    |                             | 
 public | classtst                                          | table    |                             | 
 public | dbstatus                                          | table    |                             | 
 public | geography_columns                                 | view     |                             | 
 public | geometry_columns                                  | view     | postgres=arwdDxt/postgres  +| 
        |                                                   |          | arbwim=arwdxt/postgres      | 
 public | raster_columns                                    | view     |                             | 
 public | raster_overviews                                  | view     |                             | 
 public | signature                                         | table    | postgres=arwdDxt/postgres  +| 
        |                                                   |          | arbwim=arwdDxt/postgres    +| 
        |                                                   |          | fieldgrp=r/postgres        +| 
        |                                                   |          | webuser=r/postgres          | 
 public | signature_id_seq                                  | sequence |                             | 
 public | signature_old                                     | table    | postgres=arwdDxt/postgres  +| 
        |                                                   |          | arbwim=arwdDxt/postgres    +| 
        |                                                   |          | fieldgrp=r/postgres         | 
 public | signature_test                                    | table    |                             | 
 public | sigtst                                            | table    |                             | 
 public | spatial_ref_sys                                   | table    | postgres=arwdDxt/postgres  +| 
        |                                                   |          | arbwim=arwdDxt/postgres     | 
 public | status                                            | table    |                             | 
 public | test                                              | table    |                             | 
 public | tstagg                                            | table    |                             | 
 public | vds_body_classification_predictions               | table    | arbtrucks=arwdDxt/arbtrucks+| 
        |                                                   |          | data_analyst=r/arbtrucks    | 
 public | vds_hourly_aggregated_body_count                  | table    |                             | 
 public | vds_hourly_aggregated_body_count_1                | table    |                             | 
 public | vds_hourly_aggregated_body_count_tier2            | table    |                             | 
 public | vds_hourly_aggregated_body_count_tier2_1          | table    |                             | 
 public | vds_tractor_body_classification                   | table    |                             | 
 public | wim_body_classification_predictions               | table    |                             | 
 public | wim_hourly_aggregated_body_group_count            | table    |                             | 
 public | wim_hourly_aggregated_body_group_count_1          | table    |                             | 
 public | wim_hourly_aggregated_emfac_weightandbody_count   | table    |                             | 
 public | wim_hourly_aggregated_emfac_weightandbody_count_1 | table    |                             | 
 public | wim_hourly_aggregated_emfac_weightonly_count      | table    |                             | 
 public | wim_hourly_aggregated_emfac_weightonly_count_1    | table    |                             | 
 public | wim_hourly_aggregated_fhwa_count                  | table    |                             | 
 public | wim_hourly_aggregated_fhwa_count_1                | table    |                             | 
 public | wim_sig_pairs                                     | table    |                             | 
 public | wim_tractor_body_classification                   | table    |                             | 
 public | wimdata                                           | table    | field=arwdDxt/field        +| 
        |                                                   |          | arbtrucks=arwdDxt/field    +| 
        |                                                   |          | fieldgrp=arwdDxt/field     +| 
        |                                                   |          | webuser=r/field             | 
 public | wimdata_id_seq                                    | sequence |                             | 
(35 rows)

                          Access privileges
 Schema | Name | Type | Access privileges | Column access privileges 
--------+------+------+-------------------+--------------------------
(0 rows)

                                                 Access privileges
     Schema     |               Name               | Type  |      Access privileges      | Column access privileges 
----------------+----------------------------------+-------+-----------------------------+--------------------------
 aggregated_ild | hour_slice                       | table | postgres=arwdDxt/postgres  +| 
                |                                  |       | undergrad_rschr=r/postgres  | 
 aggregated_ild | ild_hourly_detailed_196912_61    | table |                             | 
 aggregated_ild | ild_hourly_detailed_196912_62    | table |                             | 
